title,plateforme,nb_countries
Counter-Strike,steam,201
Garry's Mod,steam,128
Counter-Strike 2,steam,102
Left 4 Dead 2,steam,78
Fortnite,playstation,71
Euro Truck Simulator 2,steam,54
Counter-Strike: Source,steam,37
Warframe,steam,35
Half-Life,steam,34
Team Fortress Classic,steam,33
Terraria,steam,32
Grand Theft Auto V,playstation,29
EA SPORTS FC 25,playstation,29
War Thunder,steam,28
The Witcher: Enhanced Edition Director's Cut,steam,21
Half-Life 2,steam,18
EA SPORTS FC 24,playstation,17
TrackMania Nations Forever,steam,16
RaceRoom Racing Experience,steam,16
Marvel Rivals,playstation,15
