gameid,usd,plateforme,main_genre,nb_game_bought
746067_playstation,59.99,playstation,Action-Adventure,38
745787_playstation,19.99,playstation,Puzzle,1
751968_playstation,0.99,playstation,Simulation,1
747890_playstation,,playstation,,7
587829_playstation,,playstation,,2
747908_playstation,19.99,playstation,Roguelite,1
753185_playstation,1.99,playstation,Action,1
746942_playstation,0.39,playstation,Action,1
747745_playstation,1.99,playstation,Platformer,1
752850_playstation,29.99,playstation,Survival Horror,2
748049_playstation,1.49,playstation,Puzzle,1
748156_playstation,24.99,playstation,Puzzle,2
748154_playstation,19.99,playstation,,1
748471_playstation,31.99,playstation,Simulation,1
742853_playstation,29.99,playstation,Simulation,2
739433_playstation,0.99,playstation,,2
742925_playstation,,playstation,Puzzle,1
738616_playstation,29.99,playstation,"""Shoot em up""",1
735506_playstation,14.99,playstation,Roguelite,1
735314_playstation,0.99,playstation,Action,1
737298_playstation,24.99,playstation,,4
734498_playstation,47.99,playstation,Strategy,1
579023_playstation,,playstation,,1
734411_playstation,,playstation,,1
734294_playstation,1.49,playstation,Puzzle,1
734012_playstation,24.99,playstation,Platformer,1
733698_playstation,49.99,playstation,Platformer,9
733465_playstation,,playstation,Music & Rhythm,1
733471_playstation,,playstation,First Person Shooter,63
735670_playstation,59.99,playstation,unknown,1
735799_playstation,25.99,playstation,Action-Adventure,1
730981_playstation,39.99,playstation,Action-Adventure,1
727078_playstation,,playstation,,8
728522_playstation,,playstation,,1
727167_playstation,0.59,playstation,,1
575285_playstation,69.99,playstation,,1
727733_playstation,,playstation,,2
727782_playstation,29.99,playstation,Role Playing,1
727542_playstation,29.99,playstation,Action-Adventure,8
727624_playstation,19.99,playstation,Simulation,4
726853_playstation,59.99,playstation,Open World,15
727287_playstation,1.99,playstation,Platformer,1
727022_playstation,49.99,playstation,Action-Adventure,1
726614_playstation,24.99,playstation,Action-RPG,1
717960_playstation,44.99,playstation,,19
722414_playstation,19.99,playstation,Automobile,1
721799_playstation,69.99,playstation,Role Playing,10
721967_playstation,29.99,playstation,Stealth,5
715190_playstation,22.49,playstation,Platformer,3
722747_playstation,0.99,playstation,Platformer,1
722569_playstation,0.99,playstation,Action,1
714252_playstation,14.99,playstation,"""Shoot em up""",1
715347_playstation,0.99,playstation,Action,1
713020_playstation,49.99,playstation,Sports,1
712982_playstation,24.99,playstation,Adventure,1
712673_playstation,,playstation,Open World,53
712570_playstation,24.99,playstation,Third Person Shooter,3
711616_playstation,0.99,playstation,,1
711117_playstation,2.99,playstation,,1
711144_playstation,,playstation,,4
711706_playstation,0.99,playstation,Platformer,1
711611_playstation,7.99,playstation,Adventure,1
711591_playstation,59.99,playstation,Action-RPG,4
711383_playstation,0.99,playstation,Puzzle,1
709314_playstation,0.99,playstation,,1
711126_playstation,9.99,playstation,Adventure,1
707953_playstation,,playstation,,1
570737_playstation,20.99,playstation,,39
708170_playstation,,playstation,Free to Play,13
707901_playstation,9.99,playstation,Stealth,3
707721_playstation,9.99,playstation,First Person Shooter,7
707763_playstation,9.99,playstation,First Person Shooter,6
707720_playstation,9.99,playstation,First Person Shooter,2
706748_playstation,,playstation,Sports,346
705422_playstation,12.99,playstation,Platformer,1
705226_playstation,,playstation,Collection,2
703634_playstation,,playstation,Sports,186
703309_playstation,3.99,playstation,Puzzle,2
703434_playstation,29.24,playstation,Hack & Slash,7
703566_playstation,29.99,playstation,sports,10
702856_playstation,2.99,playstation,Action,1
701931_playstation,19.99,playstation,Metroidvania,16
702597_playstation,29.99,playstation,Visual Novel,1
701841_playstation,19.99,playstation,Survival,2
701397_playstation,59.99,playstation,Mech,1
702259_playstation,3.99,playstation,Roguelite,13
699591_playstation,,playstation,Sports,1
699425_playstation,,playstation,Free to Play,1
699590_playstation,,playstation,Sports,2
699413_playstation,59.99,playstation,Action-Adventure,146
698522_playstation,34.99,playstation,Adventure,1
697789_playstation,24.99,playstation,,3
697889_playstation,29.99,playstation,Action Horror,15
697418_playstation,0.59,playstation,Puzzle,1
697036_playstation,4.99,playstation,Action,1
696640_playstation,3.99,playstation,Action Horror,4
696111_playstation,12.99,playstation,Adventure,2
696128_playstation,,playstation,Adventure,5
695465_playstation,24.99,playstation,Automobile,1
695461_playstation,29.99,playstation,"""Shoot em up""",2
694566_playstation,,playstation,,4
694389_playstation,,playstation,,1
693869_playstation,29.99,playstation,Action-Adventure,1
693933_playstation,17.99,playstation,Puzzle,1
693758_playstation,0.99,playstation,Educational & Trivia,1
692450_playstation,34.99,playstation,Management,4
691067_playstation,,playstation,,3
691240_playstation,49.99,playstation,Action-Adventure,1
690727_playstation,,playstation,Free to Play,14
690761_playstation,24.99,playstation,Adventure,4
690608_playstation,9.99,playstation,Role Playing,4
690610_playstation,9.99,playstation,Third Person Shooter,4
690609_playstation,9.99,playstation,Role Playing,1
690044_playstation,,playstation,,1
688948_playstation,,playstation,,78
688256_playstation,47.99,playstation,Role Playing,3
689340_playstation,1.99,playstation,Puzzle,1
686281_playstation,7.49,playstation,Automobile,1
686106_playstation,59.99,playstation,Visual Novel,1
686202_playstation,,playstation,Free to Play,1
686199_playstation,,playstation,Free to Play,2
687466_playstation,39.99,playstation,Role Playing,1
684164_playstation,16.24,playstation,Management,1
684299_playstation,9.99,playstation,Management,1
683748_playstation,19.99,playstation,Adventure,1
684076_playstation,9.99,playstation,Platformer,6
683346_playstation,,playstation,,1
683179_playstation,59.99,playstation,Role Playing,12
514719_playstation,,playstation,,1
682629_playstation,,playstation,Role Playing,4
682523_playstation,6.99,playstation,Platformer,1
682506_playstation,4.99,playstation,Automobile,1
682505_playstation,9.99,playstation,Stealth,3
682504_playstation,9.99,playstation,Stealth,7
682501_playstation,5.99,playstation,Platformer,7
682409_playstation,19.99,playstation,Third Person Shooter,1
678843_playstation,29.99,playstation,,2
681422_playstation,59.99,playstation,Role Playing,3
679414_playstation,2.49,playstation,Platformer,1
678908_playstation,1.99,playstation,Action,1
677565_playstation,39.99,playstation,Party,1
676557_playstation,29.99,playstation,Simulation,1
676748_playstation,39.99,playstation,Action-Adventure,4
675834_playstation,,playstation,Free to Play,1
675077_playstation,49.99,playstation,Action-RPG,1
674740_playstation,0.99,playstation,Action,1
674341_playstation,,playstation,Simulation,1
754174_playstation,17.49,playstation,,9
673775_playstation,2.99,playstation,Puzzle,3
